epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.734,1.87099,3.53232,1.4909,0.02441,0.24692,0.11006,0.05756,1.93467,3.62107,1.40734,0.0002858,0.0002858,0.0002858
2,110.353,1.7115,2.55041,1.28785,0.8918,0.2328,0.32302,0.2044,1.64566,2.75844,1.1692,0.000574289,0.000574289,0.000574289
3,164.019,1.52564,1.84751,1.13542,0.73025,0.35978,0.4035,0.24587,1.57734,2.25793,1.10927,0.000850895,0.000850895,0.000850895
4,215.783,1.45157,1.61882,1.1297,0.60139,0.38875,0.43235,0.24473,1.60163,1.94816,1.11907,0.00111562,0.00111562,0.00111562
5,269.317,1.50914,1.55186,1.1569,0.55319,0.46283,0.50272,0.30799,1.54374,1.68322,1.14075,0.00131582,0.00131582,0.00131582
6,317.887,1.44548,1.44256,1.13719,0.56073,0.46176,0.49215,0.29935,1.52787,1.68659,1.15203,0.00128753,0.00128753,0.00128753
7,365.48,1.39198,1.36886,1.11463,0.6048,0.5042,0.53383,0.34156,1.39777,1.39775,1.09578,0.00125923,0.00125923,0.00125923
8,419.086,1.32251,1.30206,1.09106,0.54687,0.53125,0.48918,0.28524,1.40257,1.44533,1.11436,0.00123094,0.00123094,0.00123094
9,469.887,1.33907,1.31512,1.08598,0.54156,0.55392,0.53877,0.32876,1.28847,1.3954,1.06658,0.00120265,0.00120265,0.00120265
10,519.779,1.2906,1.22412,1.07178,0.68241,0.53864,0.58098,0.36438,1.26578,1.31321,1.05576,0.00117435,0.00117435,0.00117435
11,567.971,1.24758,1.16139,1.06078,0.68778,0.5642,0.61944,0.39034,1.25584,1.16826,1.04278,0.00114606,0.00114606,0.00114606
12,623.235,1.24911,1.20473,1.05825,0.67384,0.60162,0.63989,0.39589,1.24737,1.13964,1.04231,0.00111776,0.00111776,0.00111776
13,681.166,1.29927,1.20169,1.0641,0.72802,0.59452,0.64961,0.39714,1.28233,1.08966,1.04946,0.00108947,0.00108947,0.00108947
14,727.117,1.27064,1.16229,1.0655,0.75316,0.62284,0.67284,0.43274,1.20397,1.04806,1.02493,0.00106118,0.00106118,0.00106118
15,777.625,1.2555,1.17405,1.04073,0.74116,0.63501,0.66675,0.42883,1.18578,1.04619,1.02239,0.00103288,0.00103288,0.00103288
16,821.171,1.21911,1.14305,1.03582,0.71533,0.62843,0.66542,0.43862,1.15669,1.05173,1.00257,0.00100459,0.00100459,0.00100459
17,866.58,1.24962,1.14347,1.05227,0.67847,0.62647,0.65939,0.42853,1.19359,1.06271,1.01115,0.000976293,0.000976293,0.000976293
18,909.88,1.16019,1.09494,1.03286,0.74799,0.63711,0.69011,0.45099,1.15556,1.00439,1.0004,0.000947999,0.000947999,0.000947999
19,957.043,1.15288,1.05794,1.03831,0.71229,0.65526,0.68337,0.45284,1.12537,0.97578,0.99575,0.000919704,0.000919704,0.000919704
20,1000.35,1.1442,1.05977,1.03412,0.74043,0.63297,0.67929,0.45133,1.10464,0.98349,0.98935,0.00089141,0.00089141,0.00089141
21,1051.82,1.13547,1.05698,1.02747,0.76069,0.64451,0.69755,0.46786,1.11123,0.97195,0.99858,0.000863116,0.000863116,0.000863116
22,1100.18,1.06688,1.0316,1.00263,0.77083,0.64608,0.70315,0.46468,1.12311,0.98664,0.99813,0.000834822,0.000834822,0.000834822
23,1149.15,1.09668,1.00651,1.00468,0.76684,0.64353,0.70107,0.46543,1.12625,0.9898,1.00175,0.000806528,0.000806528,0.000806528
24,1198.7,1.12405,1.00533,1.01011,0.7888,0.63123,0.69933,0.46704,1.11042,0.987,0.99319,0.000778233,0.000778233,0.000778233
25,1246.8,1.08998,0.97619,1.01577,0.81013,0.62178,0.69803,0.46709,1.09913,0.9652,0.99489,0.000749939,0.000749939,0.000749939
26,1297.44,1.10273,0.97789,1.00075,0.80008,0.6451,0.6958,0.46099,1.11718,0.95056,1.00106,0.000721645,0.000721645,0.000721645
27,1343.71,1.08508,0.99559,1.02751,0.7674,0.65922,0.70796,0.47583,1.08132,0.94232,0.98682,0.000693351,0.000693351,0.000693351
28,1391.6,1.09906,0.99926,1.01981,0.80211,0.64064,0.70365,0.47105,1.09735,0.9641,0.98685,0.000665057,0.000665057,0.000665057
29,1454.98,1.0543,0.92879,0.99065,0.79289,0.65168,0.70871,0.47412,1.0838,0.96854,0.97799,0.000636762,0.000636762,0.000636762
30,1522.19,1.02917,0.89577,0.99047,0.77289,0.67682,0.71714,0.48862,1.06021,0.89523,0.98069,0.000608468,0.000608468,0.000608468
31,1568.76,1.09039,0.9814,1.02324,0.78598,0.68053,0.71938,0.4943,1.03996,0.87534,0.97419,0.000580174,0.000580174,0.000580174
32,1615,1.02266,0.91544,0.99397,0.76981,0.68641,0.72611,0.49735,1.03003,0.87153,0.97105,0.00055188,0.00055188,0.00055188
33,1661.33,1.03236,0.92273,0.98987,0.7631,0.68195,0.72804,0.49796,1.04542,0.87984,0.97421,0.000523586,0.000523586,0.000523586
34,1709.23,1.03494,0.89645,0.9911,0.75353,0.68058,0.73494,0.49951,1.04318,0.88414,0.96917,0.000495291,0.000495291,0.000495291
35,1753.95,1.03357,0.89652,0.9932,0.77119,0.67521,0.73577,0.50674,1.02176,0.87454,0.9623,0.000466997,0.000466997,0.000466997
36,1798.49,1.00527,0.87133,0.97427,0.78048,0.67325,0.73417,0.50558,1.01495,0.86835,0.95906,0.000438703,0.000438703,0.000438703
37,1847.67,1.00464,0.91242,0.97452,0.80188,0.66303,0.74216,0.50665,1.02404,0.868,0.95928,0.000410409,0.000410409,0.000410409
38,1896.73,1.03278,0.91134,0.98915,0.82573,0.65565,0.74899,0.51273,1.02177,0.86067,0.96012,0.000382115,0.000382115,0.000382115
39,1947.36,0.99638,0.88127,0.97282,0.8114,0.6591,0.74829,0.51603,1.02567,0.85388,0.96176,0.00035382,0.00035382,0.00035382
40,1989.18,0.97935,0.84644,0.96278,0.77709,0.68585,0.74939,0.51391,1.02316,0.84263,0.96585,0.000325526,0.000325526,0.000325526
41,2031.82,0.92365,0.89795,0.971,0.82561,0.65572,0.75038,0.5163,1.02265,0.842,0.96603,0.000297232,0.000297232,0.000297232
42,2070.97,0.94666,0.92441,0.9675,0.76959,0.68678,0.75365,0.51483,1.02999,0.85938,0.96857,0.000268938,0.000268938,0.000268938
43,2107.53,0.93815,0.8878,0.96222,0.77637,0.67681,0.74555,0.51174,1.04729,0.89964,0.97596,0.000240644,0.000240644,0.000240644
44,2145.21,0.91485,0.89611,0.96093,0.75469,0.68137,0.74373,0.50899,1.04402,0.9042,0.97532,0.000212349,0.000212349,0.000212349
45,2182.02,0.91009,0.89032,0.9549,0.74927,0.69885,0.74654,0.51675,1.02966,0.89083,0.97194,0.000184055,0.000184055,0.000184055
46,2219.14,0.9236,0.8757,0.9523,0.74391,0.68543,0.7402,0.51901,1.00815,0.86532,0.9661,0.000155761,0.000155761,0.000155761
47,2256.64,0.90839,0.83083,0.95425,0.73355,0.69032,0.74125,0.51678,1.00225,0.85754,0.96392,0.000127467,0.000127467,0.000127467
48,2294.97,0.9037,0.8138,0.94835,0.73533,0.69734,0.74387,0.51739,0.99725,0.85247,0.96148,9.91726e-05,9.91726e-05,9.91726e-05
49,2331.24,0.90732,0.82748,0.94559,0.74713,0.69538,0.74809,0.51894,0.99467,0.84698,0.96004,7.08784e-05,7.08784e-05,7.08784e-05
50,2369.78,0.89944,0.80951,0.94778,0.75015,0.69734,0.7501,0.52144,0.99084,0.84049,0.95763,4.25842e-05,4.25842e-05,4.25842e-05
